
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1412
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1536           0.0.0.0:0              LISTENING       1136
  TCP    0.0.0.0:1537           0.0.0.0:0              LISTENING       652
  TCP    0.0.0.0:1538           0.0.0.0:0              LISTENING       2888
  TCP    0.0.0.0:1539           0.0.0.0:0              LISTENING       3000
  TCP    0.0.0.0:1540           0.0.0.0:0              LISTENING       3928
  TCP    0.0.0.0:1576           0.0.0.0:0              LISTENING       1108
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING       26520
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       10620
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:29592          0.0.0.0:0              LISTENING       20068
  TCP    0.0.0.0:64646          0.0.0.0:0              LISTENING       5956
  TCP    127.0.0.1:1279         0.0.0.0:0              LISTENING       23748
  TCP    127.0.0.1:1279         127.0.0.1:5024         TIME_WAIT       0
  TCP    127.0.0.1:1279         127.0.0.1:5025         ESTABLISHED     23748
  TCP    127.0.0.1:1279         127.0.0.1:10389        TIME_WAIT       0
  TCP    127.0.0.1:1279         127.0.0.1:18782        ESTABLISHED     23748
  TCP    127.0.0.1:1279         127.0.0.1:18783        ESTABLISHED     23748
  TCP    127.0.0.1:1279         127.0.0.1:25542        ESTABLISHED     23748
  TCP    127.0.0.1:1279         127.0.0.1:36259        ESTABLISHED     23748
  TCP    127.0.0.1:1279         127.0.0.1:39258        ESTABLISHED     23748
  TCP    127.0.0.1:1279         127.0.0.1:42072        TIME_WAIT       0
  TCP    127.0.0.1:1279         127.0.0.1:43128        TIME_WAIT       0
  TCP    127.0.0.1:1279         127.0.0.1:51009        ESTABLISHED     23748
  TCP    127.0.0.1:1279         127.0.0.1:54690        TIME_WAIT       0
  TCP    127.0.0.1:1546         0.0.0.0:0              LISTENING       14116
  TCP    127.0.0.1:1546         127.0.0.1:48834        ESTABLISHED     14116
  TCP    127.0.0.1:1546         127.0.0.1:54220        ESTABLISHED     14116
  TCP    127.0.0.1:1547         0.0.0.0:0              LISTENING       14116
  TCP    127.0.0.1:1547         127.0.0.1:14895        TIME_WAIT       0
  TCP    127.0.0.1:1547         127.0.0.1:14896        TIME_WAIT       0
  TCP    127.0.0.1:1547         127.0.0.1:43472        TIME_WAIT       0
  TCP    127.0.0.1:1547         127.0.0.1:43474        TIME_WAIT       0
  TCP    127.0.0.1:3000         127.0.0.1:20581        TIME_WAIT       0
  TCP    127.0.0.1:3000         127.0.0.1:39646        ESTABLISHED     26520
  TCP    127.0.0.1:3000         127.0.0.1:54069        TIME_WAIT       0
  TCP    127.0.0.1:5025         127.0.0.1:1279         ESTABLISHED     14116
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       4808
  TCP    127.0.0.1:9908         0.0.0.0:0              LISTENING       11736
  TCP    127.0.0.1:17199        127.0.0.1:50145        ESTABLISHED     9380
  TCP    127.0.0.1:18781        0.0.0.0:0              LISTENING       14116
  TCP    127.0.0.1:18781        127.0.0.1:54219        ESTABLISHED     14116
  TCP    127.0.0.1:18782        127.0.0.1:1279         ESTABLISHED     14116
  TCP    127.0.0.1:18783        127.0.0.1:1279         ESTABLISHED     14116
  TCP    127.0.0.1:24830        0.0.0.0:0              LISTENING       5816
  TCP    127.0.0.1:25541        127.0.0.1:50140        ESTABLISHED     7188
  TCP    127.0.0.1:25542        127.0.0.1:1279         ESTABLISHED     14116
  TCP    127.0.0.1:36259        127.0.0.1:1279         ESTABLISHED     14116
  TCP    127.0.0.1:36404        127.0.0.1:50151        ESTABLISHED     7484
  TCP    127.0.0.1:36405        127.0.0.1:50145        ESTABLISHED     7484
  TCP    127.0.0.1:37600        127.0.0.1:50140        ESTABLISHED     7188
  TCP    127.0.0.1:39258        127.0.0.1:1279         ESTABLISHED     14116
  TCP    127.0.0.1:39646        127.0.0.1:3000         ESTABLISHED     1036
  TCP    127.0.0.1:43086        127.0.0.1:50140        ESTABLISHED     7188
  TCP    127.0.0.1:48834        127.0.0.1:1546         ESTABLISHED     9380
  TCP    127.0.0.1:50080        127.0.0.1:50140        ESTABLISHED     7188
  TCP    127.0.0.1:50140        0.0.0.0:0              LISTENING       7484
  TCP    127.0.0.1:50140        127.0.0.1:25541        ESTABLISHED     7484
  TCP    127.0.0.1:50140        127.0.0.1:37600        ESTABLISHED     7484
  TCP    127.0.0.1:50140        127.0.0.1:43086        ESTABLISHED     7484
  TCP    127.0.0.1:50140        127.0.0.1:50080        ESTABLISHED     7484
  TCP    127.0.0.1:50140        127.0.0.1:50152        ESTABLISHED     7484
  TCP    127.0.0.1:50140        127.0.0.1:50153        ESTABLISHED     7484
  TCP    127.0.0.1:50140        127.0.0.1:50154        ESTABLISHED     7484
  TCP    127.0.0.1:50145        0.0.0.0:0              LISTENING       7188
  TCP    127.0.0.1:50145        127.0.0.1:17199        ESTABLISHED     7188
  TCP    127.0.0.1:50145        127.0.0.1:36405        ESTABLISHED     7188
  TCP    127.0.0.1:50146        0.0.0.0:0              LISTENING       7188
  TCP    127.0.0.1:50146        127.0.0.1:1600         TIME_WAIT       0
  TCP    127.0.0.1:50146        127.0.0.1:4187         TIME_WAIT       0
  TCP    127.0.0.1:50146        127.0.0.1:14079        TIME_WAIT       0
  TCP    127.0.0.1:50146        127.0.0.1:42271        TIME_WAIT       0
  TCP    127.0.0.1:50151        0.0.0.0:0              LISTENING       7188
  TCP    127.0.0.1:50151        127.0.0.1:36404        ESTABLISHED     7188
  TCP    127.0.0.1:50152        127.0.0.1:50140        ESTABLISHED     7188
